tweet,favs,retweets,id,date,media_url
Hab meinem Vater heute einfach ein iPad zum Geburtstag geschenkt. 🤯 Vor paar Monaten hätte ich das nicht mal zu träumen gewagt (weil broke af). https://t.co/xQiOl4IWn4,442,0,1435741953803554825,2021-09-08 23:08:51+00:00,"['http://pbs.twimg.com/media/E-zHsbFXMAAYZhI.jpg', 'http://pbs.twimg.com/media/E-zHspWWQAEXeCW.jpg']"
Frauen sind so wow. Weiblichkeit ist so wunderschön.,30,2,1445710511450955791,2021-10-06 11:20:20+00:00,[]
"Ich habe letzten Monat das erste Mal im Leben mit Programmieren Geld verdient. 💰
Dabei habe ich vor ca. 13 Jahren das erste mal programmiert. 😳",25,1,1432778028254367756,2021-08-31 18:51:16+00:00,[]
"Jeder der mich vermisst hat, drückt auf das Herz. 😍👍🏾",24,0,1441821352105676801,2021-09-25 17:46:12+00:00,[]
:) https://t.co/qYgtv0TypS,20,0,1451967088952856589,2021-10-23 17:41:44+00:00,['http://pbs.twimg.com/media/FCZsXh4WYAQzHqG.jpg']
Ich sehe gleich das erste mal ein Champions League Spiel im Stadion. :) #BVBaja,18,0,1455938582095478790,2021-11-03 16:43:02+00:00,[]
"Es gibt da nur ein Problem mit langen Haaren:

Wind.",17,0,1450099996624408585,2021-10-18 14:02:35+00:00,[]
"Bin heute insgesamt fast 6 Stunden Bahn gefahren inkl. etliche SEV um eigenhändig an der Wahlurne im Wahlkreis Aachen I die deutsche Demokratie im Alleingang zu retten. 🇩🇪🇩🇪🇩🇪
1 Fav = 1 Respekt.",16,0,1442231838567632897,2021-09-26 20:57:20+00:00,[]
"Ich habe keine Ahnung von Hunden aber ich hab eine richtig gute Idee:
Hunden beibringen nach dem Koten ihren Kot in Hundekotbeutel zu tun. Dann wäre Gassi gehen doch viel entspannter.",15,0,1445361661959974912,2021-10-05 12:14:08+00:00,[]
"Seitdem ich keinen Vollbart mehr hab werde ich weniger kontrolliert.

Gerade wurde im Zug der schwarze Mann neben mir als einziger im Wagon kontrolliert. Normalerweise werde ich genau dann dann auch immer mitkontrolliert aber heute nicht.
Damn, white privilege feels amazing. 😍🧑🏼",15,0,1432685773996937218,2021-08-31 12:44:41+00:00,[]
"Der Fahrtkartenkontrolleur hat heute im Zug all die Biodeutschen kontrolliert aber mich nicht. 🤨

Was ist heute? Gegenteiltag? Der internationale Tag gegen Rassismus?",14,0,1442090273094336517,2021-09-26 11:34:48+00:00,[]
"Je älter du wirst, desto mehr Sinn ergeben Kalendersprüche.",14,0,1447665944894001155,2021-10-11 20:50:32+00:00,[]
Ich habe einen Crush auf Annalena Baerbock.,14,0,1446191370058797057,2021-10-07 19:11:06+00:00,[]
"Ich sitze an einem schönen, sonnigen 🌞 Tag am Bahnhof und muss warten weil gestreikt wird. Und ich habe gute Laune dabei weil ich den Lokführern ihr Hak gönne. 🤑🚂",14,1,1434180189324464130,2021-09-04 15:42:57+00:00,[]
Lügen haben kurze Beine. https://t.co/DUwjyt67zf,13,0,1435622824102727684,2021-09-08 15:15:28+00:00,[]
"Das Leben ist so gut zu mir dieses Jahr, dass sich das ganze irgendwie illegal anfühlt. Als käme bald wieder der große Crash.",13,0,1450158870496698368,2021-10-18 17:56:32+00:00,[]
"Ich war gerade das erste mal dieses Jahr nach über 11 Monaten beim Friseur. Und das erste mal mit längeren Haaren.

Und es war eine gute Entscheidung zu einem ""deutschen"" Friseur zu gehen. Sie wusste genau was zu machen ist, hatte Ahnung und hat mich vernünftig beraten.",13,0,1451889166988480512,2021-10-23 12:32:06+00:00,[]
"Wtf, war 2 Wochen nicht auf Twitter und mein letzter Tweet davor, den ich um 1 Uhr nachts auf lowkey losgelassen habe und mir dachte ""sieht sowieso niemand also entspannt"" hat einfach fast 500 favs bekommen. 🤨🤨🤨
Ich verstehe Twitter nicht.",13,0,1441821538844647426,2021-09-25 17:46:57+00:00,[]
"Mir fällt gerade auf, dass ich spätestens seit Corona so raus bin was Mode angeht. Laufe rum als wäre es 2015. Sollte mal meinen Kleiderschrank umkrempeln.",12,0,1449417090012749825,2021-10-16 16:48:57+00:00,[]
Mein Spiegelbild macht mich bi-curious.,12,0,1443287204390965250,2021-09-29 18:50:59+00:00,[]
😃 https://t.co/Wp1QgJ45pF,11,0,1433758834485604352,2021-09-03 11:48:38+00:00,['http://pbs.twimg.com/media/E-W8D3vWYBsEY1M.jpg']
"Mein ""Seiten 0""-Friseur hätte die Haare safe verkackt. Er macht dir einen Killer Fade wie ein Weltmeister aber hiervon hat er keine Ahnung.",11,0,1451889525068898309,2021-10-23 12:33:32+00:00,[]
Hab diese Woche einfach 750€ für Kamera + Zubehör gekauft damit unsere Hörer uns wahrscheinlich weiterhin auf Spotify hören und wir weiterhin nur 3-4 Zuschauer auf YouTube haben. :D,11,0,1451202099975389190,2021-10-21 15:01:57+00:00,[]
Proposal meiner Bachelorarbeit endlich ✅.,11,0,1448209508665331714,2021-10-13 08:50:27+00:00,[]
Ich habe die Grünen gewählt damit mein Global Clean Energy ETF durch die Decke geht. 🚀,11,0,1445068142326206476,2021-10-04 16:47:47+00:00,[]
"Das beste Gefühl:
Man hat einen genialen Einfall unter der Dusche oder so. Paar Stunden später kommt man aber nicht mehr drauf was es war und denkt der Gedanke sei für alle Zeiten entfallen. Aber dann NOCHMAL paar Stunden später fällt es einem zufällig DOCH wieder ein. :)))",11,1,1445785193822883851,2021-10-06 16:17:06+00:00,[]
Schreibe gerade um 1 Uhr Nachts meinen Vortrag und erstelle die dazugehörigen Folien für einen Elevator Pitch Contest morgen.,11,0,1445892481510481923,2021-10-06 23:23:25+00:00,[]
"Ich hab viel zu gute Laune dafür, dass ich nur zwei Stunden geschlafen habe und bereits auf dem Weg zum Neurologen bin. Dass ich einen 1€ Kiosk Kaffee intus habe hilft wahrscheinlich.",11,0,1456147617625346050,2021-11-04 06:33:40+00:00,[]
"Hab mal ein dummes, kleines Python Skript geschrieben.
Alle rein rechnerisch möglichen Koalitionen welche eine absolute Mehrheit ergeben würden.
https://t.co/hJ6TtdMSpP",10,0,1442520962801487873,2021-09-27 16:06:12+00:00,[]
Ich bin gegen den Klimawandel!!!,10,0,1450119637786636292,2021-10-18 15:20:38+00:00,[]
Ich fürchte mich vor Menschen die immer Emojis bei Commit Messages in Git benutzen.,10,0,1435351900220764170,2021-09-07 21:18:55+00:00,[]
Fun Fact: Heute ist der internationale Gruseltag! 👻👻👻,10,0,1454885188928954370,2021-10-31 18:57:14+00:00,[]
